Material,Sintering,Structure,er,Qf,f,Tcf,Reference
AlPO4+5wt% MgF2,1450,Orthorhombic,3,900,5.8,,1
0.2B2O3-0.8SiO2,1100,Amorphous (fused silica),3.6,70600,,,2
SiO2 (solid state method),1100,fused silica,3.7,44300,,-15,3
SiO2melt method,,Fused silica,3.7,122100,,,3
10.5CaO-22.2B2O3-67.3SiO2,1035,Glass,3.8,4300,12.9,,4
SiO2,1650,Trigonal P3 121,3.8,80400,,-16,5
CaO-B2O3-SiO2 (29.3:9.3:61.4 mol%),900,Glass,3.9,1800,9.9,,6
27.8CaO-27B2O3-45.2SiO2,875,Glass,4,3200,12.8,,6
KGaGe3O8,890,Monoclinic P2 1/a,4,10200,13,,7
SrCuSi4O10,1100,Gillespite Tetragonal P4/ncc,4,11500,,,8
CaO-B2O3-SiO2 (19.8:30.9:49.3 mol%),900,Glass,4.1,2000,9.9,,6
CaO-B2O3-SiO2 (10.5:22.2:67.3 mol%),900,Glass,4.1,2600,9.9,,6
Na2MoO4,660,Cubic Fd-3m,4.1,35000,,-76,9
Li3AlB2O6,650,Triclinic P-1 7,4.2,12460,16.8,-290,10
27.8CaO-27B2O3-45.3SiO2,850,Glass,4.2,3200,12.8,,4
LiAlSiO4+15 wt% Bi 2O3,900,α-eucryptite Rhombohedral R3,4.3,62400,,-16,11
Li 2CaSiO 4,1000,Tetragonal I-42m,4.4,2500,,,12
BF33 glass,,Glass,4.6,440,4,,13
BF33 glass,,Glass,4.6,860,5,,13
BF33 glass,,Glass,4.6,2900,24,,13
BF33 glass,,Glass,4.6,4560,77,,13
MEMPAX glass,,Glass,4.7,310,2,,13
MEMPAX glass,,Glass,4.7,700,5,,13
MEMPAX glass,,Glass,4.7,2400,24,,13
MEMPAX glass,,Glass,4.7,5130,77,,13
K0.9 Ba0.1 Ga1.1 Ge2.9 O8,990,Monoclinic C2/m,4.7,10600,13,-18,7
LiAlSiO 4,1350,α-eucryptite Rhombohedral R3,4.8,36000,,8,14
Li 3 AlB 2O6,700,Triclinic,4.9,12600,16.9,-201,10
(cordierite) Mg2Al 4Si 5O18+7 wt% Yb 2O3,1420,Orthorhombic Cccm,4.9,112500,18,,15
Li 2MgSiO 4 +5 wt% LMZBS,850,Orthorhombic,4.9,8000,8,,16
SrCuSi 4O10 +5 wt% LMZBS,900,Tetragonal Gillespite P4/ncc,5,4000,,,8
30 wt% Al 2O3+70 wt% [3ZnO-2B2O3],850,Composite,5,8000,7,-32,17
Mg2SiO 4+15 wt% LBS,950,Orthorhombic Pbnm,5,1500,,,18
Li 2MgSiO 4 +3 wt% LMZBS,850,Orthorhombic,5,10000,8,,16
SrCuSi 4O10 +3wt% LMZBS,975,Tetragonal Gillespite P4/ncc,5.1,5000,,,8
Li 2MgSiO 4,1250,Orthorhombic,5.1,16000,8,,16
Cordierite+15 wt% CaO-B2O3,1020,Cordierite composite,5.1,4500,10.3,,19
Li 2MgSiO 4 +3 wt% LBS,850,Orthorhombic,5.1,42100,8,,16
Li 2MgSiO 4 +2 wt% LBS,850,Orthorhombic,5.1,67000,8,,16
AF32 glass,,Glass,5.1,360,1,,13
AF32 glass,,Glass,5.1,290,4,,13
AF32 glass,,Glass,5.1,1190,5,,13
AF32 glass,,Glass,5.1,3470,24,,13
AF32 glass,,Glass,5.1,7230,77,,13
KGaGe3O8 +0.3 wt% H 3BO3,880,Monoclinic P2 1/a,5.2,64000,13,-23,7
