Material,er,Qf,f,Tcf,Single_Crystal_1,er1,Qf1,f1,Tcf1,Single_Crystal_2,er2,Qf2,f2,Tcf2,V1,V2,W1,W2,Ref
LiAlSiO4+15wt%Bi2O3,4.3,62400,,-16,LiAlSiO4,4.8,36000,,8,Bi2O3,33.5,18700,8.7,-235,,,0.85,0.15,
0.85SiO2-0.15TiO2coreshellstructure,5.4,40500,,2.5,SiO2,3.8,80400,,-16,TiO2,115,46000,,450,0.85,0.15,0.81,0.19,24
0.9SiO2-0.1TiO2coreshellstructure,4.6,36300,,-0.5,SiO2,3.8,80400,,-16,TiO2,115,46000,,450,0.9,0.1,,,24
0.8SiO2-0.2TiO2coreshellstructure,5.8,27500,,26.4,SiO2,3.8,80400,,-16,TiO2,115,46000,,450,0.8,0.2,,,24
0.75SiO2-0.25TiO2coreshellstructure,7.7,21200,,51.5,SiO2,3.8,80400,,-16,TiO2,115,46000,,450,0.75,0.25,,,24
0.7SiO2-0.3TiO2coreshellstructure,9.5,26800,,64,SiO2,3.8,80400,,-16,TiO2,115,46000,,450,0.7,0.3,,,24
1.0SiO2-0.0TiO2coreshellstructure,3.8,80400,,-16,SiO2,3.8,80400,,-16,TiO2,115,46000,,450,1,0,0.81,0.19,
0.0SiO2-1.0TiO2coreshellstructure,115,46000,,450,SiO2,3.8,80400,,-16,TiO2,115,46000,,450,0,1,0.81,0.19,
Mg3B2O6+5wt%Mg2B2O5,7,241000,,-18,Mg2B2O5,6.2,32000,,-45,Mg3B2O6,7.2,150400,16,,0.06,0.94,0.05,0.95,
Mg2SiO4+1wt%TiO2Fosterite,7,230000,,-65,Mg2SiO4,6.8,270000,,-67,TiO2,115,46000,,450,0.983,0.017,0.99,0.01,
AlphaCaSiO3+6wt%SiO2,7.4,33700,,-11,SiO2,3.8,80400,,-16,CaSiO3,8.4,16000,10,-11.14,0.89,0.11,0.06,0.94,
Zn2SiO4+8mol%Bi2O3,7.6,12600,,-22,Zn2SiO4,6.6,219000,,-61,Bi2O3,33.5,18700,8.7,-235,0.92,0.08,0.846,0.154,
1Zn2SiO4-0Bi2O3,6.6,219000,,-61,Zn2SiO4,6.6,219000,,-61,Bi2O3,33.5,18700,8.7,-235,1,0,0.846,0.154,
0Zn2SiO4-1Bi2O3,33.5,18700,8.7,-235,Zn2SiO4,6.6,219000,,-61,Bi2O3,33.5,18700,8.7,-235,0,1,0.846,0.154,
CaMg0.9Zn0.1Si2O6+0.6wt%LiF,7.7,70000,,-25,LiF,9.02,192400,7.1,-163.46,CaMg0.9Zn0.1Si2O6,7.9,76100,,-22,,,0.006,0.994,
CaMg0.9Zn0.1Si2O6+5wt%MgF2,7.8,169800,11.7,-26,MgF2,5.48,490000,11232,-113.9,CaMg0.9Zn0.1Si2O6,7.9,76100,,-22,,,0.05,0.95,
LiMgPO4+0.05vfTiO2,7.9,63600,,-36,LiMgPO4,6.6,79100,,-60,TiO2,115,46000,,450,0.95,0.05,,,58
0.9LiMgPO4+0.1vfTiO2,9.3,45400,,-12.3,LiMgPO4,6.6,79100,,-60,TiO2,115,46000,,450,0.9,0.1,,,58
0.88LiMgPO4+0.12vfTiO2,10,26900,,1.2,LiMgPO4,6.6,79100,,-60,TiO2,115,46000,,450,0.88,0.12,,,58
0.85LiMgPO4+0.15vfTiO2,11.4,21100,,3.5,LiMgPO4,6.6,79100,,-60,TiO2,115,46000,,450,0.85,0.15,,,58
α-CaSiO3+2wt%TiO2,7.9,16500,,1,CaSiO3,8.4,16000,10,-11.14,TiO2,115,46000,,450,0.972,0.028,0.98,0.02,
CaAl2Si2O8+5wt%TiO2,8,22500,,-50,CaAl2Si2O8,7.4,12000,,-130,TiO2,115,46000,,450,0.845,0.155,0.95,0.05,
LiMg0.9Zn0.1PO4+0.05VfTiO2,8.2,80200,,-39,LiMg0.9Zn0.1PO4,6.7,99700,,-62,TiO2,115,46000,,450,0.95,0.05,,,73
LiMg0.9Zn0.1PO4+0.1VfTiO2,9.5,69500,,-15,LiMg0.9Zn0.1PO4,6.7,99700,,-62,TiO2,115,46000,,450,0.9,0.1,,,73
LiMg0.9Zn0.1PO4+0.12VfTiO2,10.1,52900,,-5,LiMg0.9Zn0.1PO4,6.7,99700,,-62,TiO2,115,46000,,450,0.88,0.12,,,73
LiMg0.9Zn0.1PO4+0.15VfTiO2,11.7,49800,,17,LiMg0.9Zn0.1PO4,6.7,99700,,-62,TiO2,115,46000,,450,0.85,0.15,,,73
1LiMg0.9Zn0.1PO4-0TiO2,6.7,99700,,-62,LiMg0.9Zn0.1PO4,6.7,99700,,-62,TiO2,115,46000,,450,1,0,0.95,0.05,
0LiMg0.9Zn0.1PO4-1TiO2,115,46000,,450,LiMg0.9Zn0.1PO4,6.7,99700,,-62,TiO2,115,46000,,450,0,1,0.95,0.05,
0.86(Mg0.4Zn0.6)2SiO4-0.14CaTiO3,8.4,28100,,-6,(Mg0.4Zn0.6)2SiO4,6.6,95650,,-60,CaTiO3,162,1290,1.5,859,0.86,0.14,,,
1(Mg0.4Zn0.6)2SiO4-0CaTiO3,6.6,95650,,-60,(Mg0.4Zn0.6)2SiO4,6.6,95650,,-60,CaTiO3,162,1290,1.5,859,1,0,,,
0.96Sr2Al2SiO7-0.04CaTiO3,8.6,20400,,8.5,Sr2Al2SiO7,7,33000,,-34,CaTiO3,162,1290,1.5,859,0.96,0.04,,,109
0.97Sr2Al2SiO7-0.03CaTiO3,8.4,20450,,-9.5,Sr2Al2SiO7,7,33000,,-34,CaTiO3,162,1290,1.5,859,0.97,0.03,,,109
1Sr2Al2SiO7-0CaTiO3,7,33000,,-34,Sr2Al2SiO7,7,33000,,-34,CaTiO3,162,1290,1.5,859,1,0,0.96,0.04,
Sr2ZnSi2O7+2wt%SrTiO3,8.8,60000,,-13,Sr2ZnSi2O7,8.4,105000,,-52,SrTiO3,270,3000,2,1500,0.956,0.434,0.98,0.02,
89%wt Zn2SiO4- 11%wt TiO2,9.1,118000,,1,Zn2SiO4,6.6,219000,,-61,TiO2,115,46000,,450,0.744,0.256,0.957,0.043,
0.95Sr2Al2SiO7-0.05CaTiO3,9.2,14400,,24,Sr2Al2SiO7,7,33000,,-34,CaTiO3,162,1290,1.5,859,0.95,0.05,0.981,0.019,
0.84MgAl2O4-0.16TiO2,9.3,82200,10.1,-27,MgAl2O4,8.5,105000,,-63,TiO2,115,46000,,450,0.84,0.16,0.903,0.097,
LiMg0.9Zn0.1PO4+0.1VfTiO2,9.5,69500,,-15,LiMg0.9Zn0.1PO4,6.7,99700,,-62,TiO2,115,46000,,450,0.9,0.1,0.9,0.1,
1LiMg0.9Zn0.1PO4-0TiO2,6.7,99700,,-62,LiMg0.9Zn0.1PO4,6.7,99700,,-62,TiO2,115,46000,,450,1,0,0.9,0.1,
0LiMg0.9Zn0.1PO4-1TiO2,115,46000,,450,LiMg0.9Zn0.1PO4,6.7,99700,,-62,TiO2,115,46000,,450,0,1,0.9,0.1,
0.79ZnAl2O4-0.21Mg2TiO4,9.6,160800,,-65,ZnAl2O4,7.9,82000,,-63,Mg2TiO4,14.2,160000,,-50,0.79,0.21,0.811,0.189,
0.96MgO-0.04LiF,9.6,282230,,-63,LiF,9.02,192400,7.1,-163.46,MgO,7.9,113600,16.4,-51,0.04,0.96,0.026,0.974,227
0.98MgO-0.02LiF,9.6,249216,,-61.1,LiF,9.02,192400,7.1,-163.46,MgO,7.9,113600,16.4,-51,0.02,0.98,0.026,0.974,227
0.94MgO-0.06LiF,9.4,211116,,-62.9,LiF,9.02,192400,7.1,-163.46,MgO,7.9,113600,16.4,-51,0.06,0.94,0.026,0.974,227
0.92MgO-0.08LiF,9.3,150566,,-62.1,LiF,9.02,192400,7.1,-163.46,MgO,7.9,113600,16.4,-51,0.08,0.92,0.026,0.974,227
LiMg0.95Ni0.05PO4+11wt%TiO2,9.9,50800,,-1,LiMg0.95Ni0.05PO4,6.9,98600,,-55,TiO2,115,46000,,450,,,0.89,0.11,
LiMgPO4+0.12TiO2,10,26900,,-1,LiMgPO4,6.6,79100,,-60,TiO2,115,46000,,450,0.88,0.12,0.88,0.12,
Al2O3+0.5wt%TiO2,10,453000,9,,Al2O3,10,634000,14,-40,TiO2,115,46000,,450,0.9936,0.00637,0.995,0.005,
Al2O3+500ppmTiO2,10,500000,10,,Al2O3,10,634000,14,-40,TiO2,115,46000,,450,0.9995,0.0005,0.9995,0.0005,
Al2O3+0.015vfTiO2,10,300000,10,0,Al2O3,10,634000,14,-40,TiO2,115,46000,,450,0.985,0.015,,,
