Material,er,Qf,f,Tcf
LiAlSiO4,4.8,36000,nan,8
Bi2O3,33.5,18700,8.7,-235
SiO2,3.8,80400,nan,-16
TiO2,115,46000,nan,450
Mg2B2O5,6.2,32000,nan,-45
Mg2SiO4,6.8,270000,nan,-67
CaSiO3,8.4,16000,10,-11.14
Zn2SiO4,6.6,219000,nan,-61
LiF,9.02,192400,7.1,-163.46
CaMg0.9Zn0.1Si2O6,7.9,76100,nan,-22
MgF2,5.48,490000,11232,-113.9
LiMgPO4,6.6,79100,nan,-60
CaAl2Si2O8,7.4,12000,nan,-130
LiMg0.9Zn0.1PO4,6.7,99700,nan,-62
(Mg0.4Zn0.6)2SiO4,6.6,95650,nan,-60
CaTiO3,162,1290,1.5,859
Sr2Al2SiO7,7,33000,nan,-34
Sr2ZnSi2O7,8.4,105000,nan,-52
SrTiO3,270,3000,2,1500
MgAl2O4,8.5,105000,nan,-63
ZnAl2O4,7.9,82000,nan,-63
Mg2TiO4,14.2,160000,nan,-50
LiMg0.95Ni0.05PO4,6.9,98600,nan,-55
Al2O3,10,634000,14,-40
LiMg0.95Co0.05PO4,7,111200,nan,-54
Li2WO4,5.5,62000,15.7,-146
Y3Al5O12,10.4,440000,nan,-50
BaMoO4,9,37100,nan,-90
Li2MoO4,5.2,18500,9.6,-160
SrMoO4,9.5,61000,nan,-67
NaCa2Mg2V3O12,10,50600,nan,-47
BaWO4,8.1,56000,nan,-55
LiYW2O8,14.8,9550,nan,-64
LiCa3MgV3O12,10.5,74700,nan,-61
CaMoO4,10.8,89700,nan,-23
BaTa2P2O11,12.9,28900,nan,-29
(Al1/2Ta1/2)O2,8.7,60800,nan,-55
(Mg1/3Ta2/3)O2,27.1,95360,nan,51
CeO2,23,65000,nan,-55
ZnWO4,13.5,62800,nan,-60
(Li1/2Nd1/2)WO4,16.1,4210,nan,142
MgWO4,9.9,69000,,-58
Ba2BiV3O11,14.2,68700,8.7,-81
Sm2O3,23,46000,nan,22
Ba5Nb4O15,40,53000,nan,78
CaWO4,8.7,75000,nan,-54
(Mg0.97Zn0.03)(Ti0.95Sn0.05)O4,14.6,183500,nan,-44
MgNb2O6,21.4,93800,nan,-70
Li3Bi2P3O12,15.8,26600,nan,-130
Zn2Te3O8,16.2,66000,4.9,-60
CaNb2O6,17.3,49600,6.9,-53
MgTiO3,16.1,289400,nan,-54
CaF2,6.8,92000,8.1,-137.85
NdNbO4,19.6,33000,nan,-24
Mg(Zr0.05Ti0.95)O3,18.1,380000,nan,-50
(Mg0.95Co0.05)TiO3,16.8,230000,10,-54
BaCu(B2O5),7.3,50000,nan,-32
CoLi2/3Ti4/3O4,21.4,35000,nan,-22
SrLa4Si3O13,14.2,26300,nan,-46
BiSbO4,19.3,70000,nan,-62
Li3NbO4,15.8,55000,nan,-49
ZnNb2O6,21.5,84500,6.3,-75
MgLi2/3Ti4/3O4,20.2,62300,nan,-27
(Mg0.95Zn0.05)TiO3,16,210000,nan,-60
CeTe2O6,15.2,45400,nan,-68
CoNb2O6,20.5,81000,nan,-70
La2/3(Mg1/2W1/2)O3,23.6,32500,nan,-43
Bi2Mo2O9,38,12500,nan,31
LaAlO3,23.4,68000,10,-44
TeO2,19.3,30000,4,-119
Sr(In1/2Nb1/2)O3,26,32700,nan,-62
Li2ZnTi3O8,25.6,72000,nan,-11
La(Mg1/2Ti1/2)O3,27.6,114300,7.1,-81
Ba(Mg1/3Ta2/3)O3,24,430000,10,5
Ba(Co1/3Nb2/3)O3,32,78000,nan,-12
ZnTiO3,19,30000,10,-55
Ca(Yb1/2Ta1/2)O3,21.2,24000,9.6,-38
ZnZrNb2O8,30,61000,nan,-52
Nd(Co1/2Ti1/2)O3,27,140000,9,-46
Sm(Mg1/2Ti1/2)O3,25,65500,10,-26
LiBiW2O8,26.5,16400,nan,70
Sr(Yb1/2Nb1/2)O3,29.4,50000,8.1,-72
BaTi4O9,36,50500,10.3,16
Ba(Zn1/3Ta2/3)O3,28,168000,nan,1
Sr(Sm1/2Ta1/2)O3,27.7,59000,8.5,-63
Sr(Er1/2Nb1/2)O3,32,36100,nan,-67
Sr(Y1/2Nb1/2)O3,32,38800,nan,-66
Sr(Ho1/2Nb1/2)O3,32,20400,nan,-65
Sr(Dy1/2Nb1/2)O3,33,32700,nan,-63
Sr(Tb1/2Nb1/2)O3,34,36300,nan,-61
Ba(Y1/2Nb1/2)O3,37,49600,nan,15
Ba(Yb1/2Nb1/2)O3,30,16500,8.7,118
Ca(Y1/2Nb1/2)O3,31,35000,nan,-13
BaZn2Ti4O11,30,68000,nan,-30
Sr(Gd1/2Nb1/2)O3,34,8800,nan,-56
Sr(Eu1/2Nb1/2)O3,35,44000,nan,-52
Zn3Nb2O8,21,83300,nan,-71
Ca(Mg1/3Nb2/3)O3,28,58000,nan,-48
Sr(Nd1/2Nb1/2)O3,37,20100,nan,-40
Sm(Co1/2Ti1/2)O3,25.5,76000,10,-16
NdAlO3,22,58000,nan,-35
Ca5Ta2TiO12,38,33000,4.2,10
SmAlO3,20.4,65000,10,-74
CaTi0.4(Al1/2Nb1/2).6O3,41.3,27100,7,-44
Nd(Mg1/2Ti1/2)O3,23,36900,10,-49
Ca4La2Ti5O17,73,16000,3.3,127
ZrTiO4,42,31000,7,58
NiNb2O6,21,19300,6.5,-71
Nd3Ga5O12,12.4,137800,13.8,-33
LaGaO3,27,97000,5,-80
Ca(Mg1/3Ta2/3)O3,21,78000,nan,-61
LiNb3O8,24,58000,nan,-96
ZnTa2O6,30.3,87580,nan,9.5
Ca5Nb2TiO12,48,26600,3.7,40
CaTi0.5(Al1/2Nb1/2).5O3,48,26100,7,-4
La(Zn1/2Ti1/2)O3,34,59000,10,-52
TiFeNbO6,47.2,2300,3.68,281
(La1/2Na1/2)TiO3,122,9800,3,480
Nd(Zn1/2Ti1/2)O3,31.6,170000,8.5,-42
Ba(Ti0.85Mn0.15)O3,60,12000,nan,225
CaTi.6(Al1/2Nb1/2).4O3,55.7,21800,7,47
Ca(Fe1/2Nb1/2)O3,36.8,15800,8.2,-93
Ba4Nd9.33Ti18O54,82.5,10060,nan,71
Bi2Ti4O11,47,4800,nan,-540
Ba4.2Sm9.2Ti18O54,83,8950,3.5,-13
Ba4Sm9.33Ti18O54,76,10000,nan,-12
Li1/2Nd1/2TiO3,75,2000,nan,-274
Ca0.6La0.2667TiO3,109,17600,4.5,213
MgCo2(VO4)2,9.4,78900,nan,-95
(Mg.95Co.05)TiO3,16.8,230000,10,-54
Ba(Zn1/3Nb2/3)O3,41.1,86900,9.5,31
BaZrO3,35,8800,nan,140
Ba(Y1/2Ta1/2)O3,30.45,38500,9.4,135
Ba(Ca1/9Y3/9Ta5/9)O3,26,19900,9.52,134
LiCa3MgV3O12,10.5,74700,,-61
LiCa3ZnV3O12,11.5,81100,,-72
