Material,ID,er,Qf,f,Tcf,Ref
LiAlSiO4,1,4.8,36000,nan,8,
Bi2O3,2,33.5,18700,8.7,-235,
SiO2,3,3.8,80400,nan,-16,
TiO2,4,115,46000,nan,450,
Mg2B2O5,5,6.2,32000,nan,-45,
Mg2SiO4,6,6.8,270000,nan,-67,
CaSiO3,7,8.4,16000,10,-11.14,
Zn2SiO4,8,6.6,219000,nan,-61,
LiF,9,9.02,192400,7.1,-163.46,
MgF2,10,5.48,490000,11232,-113.9,
LiMgPO4,11,6.6,79100,nan,-60,
CaAl2Si2O8,12,7.4,12000,nan,-130,
CaTiO3,13,162,1290,1.5,859,
Sr2Al2SiO7,14,7,33000,nan,-34,
Sr2ZnSi2O7,15,8.4,105000,nan,-52,
SrTiO3,16,270,3000,2,1500,
MgAl2O4,17,8.5,105000,nan,-63,
ZnAl2O4,18,7.9,82000,nan,-63,
Mg2TiO4,19,14.2,160000,nan,-50,
Al2O3,20,10,634000,14,-40,
Li2WO4,21,5.5,62000,15.7,-146,
Y3Al5O12,22,10.4,440000,nan,-50,
BaMoO4,23,9,37100,nan,-90,
Li2MoO4,24,5.2,18500,9.6,-160,
SrMoO4,25,9.5,61000,nan,-67,
NaCa2Mg2V3O12,26,10,50600,nan,-47,
BaWO4,27,8.1,56000,nan,-55,
LiYW2O8,28,14.8,9550,nan,-64,
LiCa3MgV3O12,29,10.5,74700,nan,-61,
CaMoO4,30,10.8,89700,nan,-23,
BaTa2P2O11,31,12.9,28900,nan,-29,
(Al1/2Ta1/2)O2,32,8.7,60800,nan,-55,
(Mg1/3Ta2/3)O2,33,27.1,95360,nan,51,
CeO2,34,23,65000,nan,-55,
ZnWO4,35,13.5,62800,nan,-60,
(Li1/2Nd1/2)WO4,36,16.1,4210,nan,142,
MgWO4,37,9.9,5400,nan,-58,
Ba2BiV3O11,38,14.2,68700,8.7,-81,
Sm2O3,39,23,46000,nan,22,
Ba5Nb4O15,40,40,53000,nan,78,
CaWO4,41,8.7,75000,nan,-54,
MgNb2O6,42,18.42,79600,10,-72,
Li3Bi2P3O12,43,15.8,26600,nan,-130,
Zn2Te3O8,44,16.2,66000,4.9,-60,
CaNb2O6,45,17.3,49600,6.9,-53,
MgTiO3,46,16.1,289400,nan,-54,
CaF2,47,6.8,92000,8.1,-137.85,
NdNbO4,48,19.6,33000,nan,-24,
BaCu(B2O5),49,7.3,50000,nan,-32,
CoLi2/3Ti4/3O4,50,21.4,35000,nan,-22,
SrLa4Si3O13,51,14.2,26300,nan,-46,
BiSbO4,52,19.3,70000,nan,-62,
Li3NbO4,53,15.8,55000,nan,-49,
ZnNb2O6,54,21.5,84500,6.3,-75,
MgLi2/3Ti4/3O4,55,20.2,62300,nan,-27,
CeTe2O6,56,15.2,45400,nan,-68,
CoNb2O6,57,20.5,41700,nan,-70,
La2/3(Mg1/2W1/2)O3,58,23.6,32500,nan,-43,
Bi2Mo2O9,59,38,12500,nan,31,
LaAlO3,60,23.4,68000,10,-44,
TeO2,61,19.3,30000,4,-119,
Sr(In1/2Nb1/2)O3,62,26,32700,nan,-62,
Li2ZnTi3O8,63,25.6,72000,nan,-11,
La(Mg1/2Ti1/2)O3,64,27.6,114300,7.1,-81,
Ba(Mg1/3Ta2/3)O3,65,24,430000,10,5,
Ba(Co1/3Nb2/3)O3,66,32,78000,nan,-12,
ZnTiO3,67,19,30000,10,-55,
Ca(Yb1/2Ta1/2)O3,68,21.2,24000,9.6,-38,
ZnZrNb2O8,69,30,61000,nan,-52,
Nd(Co1/2Ti1/2)O3,70,27,140000,9,-46,
Sm(Mg1/2Ti1/2)O3,71,25,65500,10,-26,
LiBiW2O8,72,26.5,16400,nan,70,
Sr(Yb1/2Nb1/2)O3,73,29.4,50000,8.1,-72,
BaTi4O9,74,36,50500,10.3,16,
Ba(Zn1/3Ta2/3)O3,75,28,168000,nan,1,
Sr(Sm1/2Ta1/2)O3,76,27.7,59000,8.5,-63,
Sr(Er1/2Nb1/2)O3,77,32,36100,nan,-67,
Sr(Y1/2Nb1/2)O3,78,32,38800,nan,-66,
Sr(Ho1/2Nb1/2)O3,79,32,20400,nan,-65,
Sr(Dy1/2Nb1/2)O3,80,33,32700,nan,-63,
Sr(Tb1/2Nb1/2)O3,81,34,36300,nan,-61,
Ba(Y1/2Nb1/2)O3,82,37,49600,nan,15,
Ba(Yb1/2Nb1/2)O3,83,30,16500,8.7,118,
Ca(Y1/2Nb1/2)O3,84,31,35000,nan,-13,
BaZn2Ti4O11,85,30,68000,nan,-30,
Sr(Gd1/2Nb1/2)O3,86,34,8800,nan,-56,
Sr(Eu1/2Nb1/2)O3,87,35,44000,nan,-52,
Zn3Nb2O8,88,21,83300,nan,-71,
Ca(Mg1/3Nb2/3)O3,89,28,58000,nan,-48,
Sr(Nd1/2Nb1/2)O3,90,37,20100,nan,-40,
Sm(Co1/2Ti1/2)O3,91,25.5,76000,10,-16,
NdAlO3,92,22,58000,nan,-35,
Ca5Ta2TiO12,93,38,33000,4.2,10,
SmAlO3,94,20.4,65000,10,-74,
Nd(Mg1/2Ti1/2)O3,95,23,36900,10,-49,
Ca4La2Ti5O17,96,73,16000,3.3,127,
ZrTiO4,97,42,31000,7,58,
NiNb2O6,98,21,19300,6.5,-71,
Nd3Ga5O12,99,12.4,137800,13.8,-33,
LaGaO3,100,27,97000,5,-80,
Ca(Mg1/3Ta2/3)O3,101,21,78000,nan,-61,
LiNb3O8,102,24,58000,nan,-96,
ZnTa2O6,103,30.3,87580,nan,9.5,
Ca5Nb2TiO12,104,48,26600,3.7,40,
La(Zn1/2Ti1/2)O3,105,34,59000,10,-52,
TiFeNbO6,106,47.2,2300,3.68,281,
(La1/2Na1/2)TiO3,107,122,9800,3,480,
Nd(Zn1/2Ti1/2)O3,108,31.6,170000,8.5,-42,
Ca(Fe1/2Nb1/2)O3,109,36.8,15800,8.2,-93,
Bi2Ti4O11,110,47,4800,nan,-540,
Li1/2Nd1/2TiO3,111,75,2000,nan,-274,
MgCo2(VO4)2,112,9.4,78900,nan,-95,
(Mg.95Co.05)TiO3,113,16.8,230000,10,-54,
Ba(Zn1/3Nb2/3)O3,114,41.1,86900,9.5,31,
BaZrO3,115,35,8800,nan,140,
Ba(Y1/2Ta1/2)O3,116,30.45,38500,9.4,135,
Ba(Ca1/9Y3/9Ta5/9)O3,117,26,19900,9.52,134,
La(Mg1∕2Ti1∕2)O3,118,28,60000,5.5,-70,
Ca2V2O7,119,12.1,19 500,,−35,373
Ba3ZrV4O15,120,10.7,30 600,,−102,373
Mg2Zn(VO4)2,121,10.5,33 000,,−100,373
Ba3V2O8,122,14.2,42 200,,52,373
LiCa3MgV3O12,123,10.5,74 700,,−61,373
Co3V2O8,124,10.3,51 000,,−105,373
